"It's what the ""A"" stands for in AIDS",acquired
(Kelly of the Clue Crew stands behind a table)   The experiment showing that two objects weighing the same displace different amounts of water because they have different densities was developed by this mathematician,Archimedes
In the 1920s Edwin Hubble determined that this galaxy was in fact a separate galaxy from the Milky Way,Andromeda
These are just small masses of lymphoid tissue in the nasopharynx,adenoids
"Of the 4, blood group of the universal recipient",AB
"Unlike most birds, ratites like the ostrich can't do this",fly
"Associated with this sense, the olfactory lobe is better developed in most vertebrates than in man",smell
"Renin, an enzyme that breaks down protein, is secreted by cells in this organ",the kidney
"Common ""colorful"" term for the eythrocytes, which transport oxygen around the body",the red blood cells
"This nucleic acid occurs in 3 forms: messenger, ribosomal & transfer",RNA
"Glycine is the simplest one of these, the essential building blocks of all proteins",amino acid
Charged particles from the Sun that become trapped in the Earth's magnetic field & interact with gases in the upper atmosphere cause this phenomenon,aurora borealis
"Metabolic imbalances can cause this, an electrical disturbance that alters the heartbeat",arrhythmia
"The production of antibodies is stimulated by the presence of these, like viruses, toxins & bacteria",antigen
Sediments laid down by streams during flooding form this type of plain,alluvial plain
"These body cavities can contain blood or can be hollow, as in the bones around the nose",Sinuses
Carrots are examples of these main roots that may have smaller roots branching from them,Tap roots
This verb used in film editing also refers to cutting & recombining DNA molecules,Splicing
"It can mean a tumor, or a body part that's a mass of tissue, like the lymph type",Node
You win a prize if you give us this term for an organ's shrinkage due to lack of use,Atrophy
"Sivapithecus, once thought to be our ancestor, turned out to be the ancestor of this Sumatran ape",the orangutan
Vincent du Vigneaud synthesized 2 of these: vasopressin & oxytocin,hormones
"In 1937 Carlo Perrier & Emilio Segre filled in no. 43 on this table, the first entry to be artificially produced",the periodic table
John Northrop joined this generation when he found that this digestive enzyme is a protein,the pepsin generation
" We were just getting used to dark matter being 90% of the universe when in 1998 we were hit with this discovery, which is making the universe expand much faster than anyone had expected",dark energy
"Juices naturally occuring in this organ include hydrochloric acid & pepsin, but no orange",the stomach
"""Skin"" term for the layer of cells on the upper & lower surfaces of a leaf; it may be one cell thick",the epidermis
It's the stage in a cocooned butterfly's metamorphosis between caterpillar & adult,chrysalis (or pupa)
"This reaction occurs in the chloroplasts, the oval-shaped green organelles in plants",photosynthesis
"Aye-aye, it's a lack of ascorbic acid that can cause this disease",scurvy
"The water mammals called cetaceans are divided into dolphins, porpoises & these",whales
"This genus comes before proteus, a shape changing Greek god, in the scientific name of  the creature we're looking at",an Amoeba
"Linnaeus posited just 2 of these living realms, Plantae & Animalia; more are recognized now",a kingdom
"Microorganisms called euglena have a flexible pellicle, or membrane, in place of a rigid one of these",a cell wall
"Part of the immune system, these, named for their origin in the thymus, feature special receptor molecules",T-cells
"As its name indicates, a mineral called calcitonin lowers the level of this mineral in the blood",calcium
"Related to red hemoglobin, chlorocruorin, a pigment in some worms, is this color",green
"In fish & amphibians, the mesonephros functions much like this organ in humans",the kidney
A flower is considered perfect if it has both pistils & these male organs,the stamen
"Latin for ""hard mother"" it's the outermost membrane covering the brain",dura mater
"Names for types of these, including cirrus & nimbus were coined in 1803 by British meteorologist Luke Howard",clouds
"You might be as ""naked as"" one of these, Garrulus glandarius",a jaybird
"Physician Robert  Graves described exophthalmic goiter, a condition now named for him, which affects this gland",the thyroid
A convict,a jailbird
"In 1881 he immunized farm animals from anthrax in Pouilly-le-Fort, on the outskirts of Paris",Pasteur
"""Cerebral"" word for a foolish or flighty person",a birdbrain
By 1880 both Edison & British physicist Joseph Wilson Swan had applied for patents on this type of electric lamp,an incandescent light bulb
Ammunition used to hunt flying game,birdshot
"Georg Grotefend bet some drinking companions that he could decipher this wedge-shaped system of writing, & did in 1802",cuneiform
"A horse racing enthusiast, so called for his trackside perch",a railbird
"When an aircraft achieves this speed based on an Austrian's name, you'll hear a boom",Mach 1
-273 Celsius,absolute zero
"Abbreviated MN, it's what a working compass needle is always pointing to in our hemisphere",magnetic north
This type of fossil fuel is primarily methane,natural gas
" Condensation won't necessarily appear on a glass filled with water, but with ice added, a glass reaches this point, & the condensation forms",the dew point
"The $6 Million Man could tell you that this word lost the ""electro"" from its middle",bionic
2 men at the U. of Washington's Department of this won the 1992 Nobel Prize for studying cell protein regulation,biochemistry
" The three main areas studied at the Nike Sport Research Lab are physiology, sensory perception & this, defined as the way forces act on the body",biomechanics
"If you doubt the need for a pink-eared antgrubber & a hollow-tailed antgrubber, you aren't recognizing the value of this",biodiversity
Biblical-sounding term for the principle that living organisms develop only from other living organisms,biogenesis
"This 1-celled protozoan gets its name from a Greek word meaning ""change""",the amoeba
